一百分	一百分 💯️
三叶草	三叶草 ☘️
三戟叉	三戟叉 🔱️
三葉草	三葉草 ☘️
可	可 🉑
男	男 ♂
女	女 ♀
啤酒	啤酒 🍺
不听	不听 🙉️
不看	不看 🙈️
不說	不說 🙊️
不说	不说 🙊️
不聽	不聽 🙉️
乒乓球	乒乓球 🏓️
云	云 ☁️
五角星	五角星 ⭐️
人造卫星	人造卫星 🛰️
人造衛星	人造衛星 🛰️
仓鼠	仓鼠 🐹️
仙人掌	仙人掌 🌵️
企鵝	企鵝 🐧️
企鹅	企鹅 🐧️
伞	伞 🌂️
侦探	侦探 🕵🏻️
信号	信号 📶️
信號	信號 📶️
倉鼠	倉鼠 🐹️
偵探	偵探 🕵🏻️
傘	傘 🌂️
兔子	兔子 🐇️
公交車	公交車 🚌️
公交车	公交车 🚌️
冰壶	冰壶 🥌
冰壺	冰壺 🥌
冲浪	冲浪 🏄🏻
冲浪女	冲浪女 🏄🏻‍♀️
冲浪男	冲浪男 🏄🏻‍♂️
凤梨	凤梨 🍍️
刀	刀 🔪️
刺猥	刺猥 🦔
剪刀	剪刀 ✂️️
十八禁	十八禁 🔞️
十字鎬	十字鎬 ⛏️
十字镐	十字镐 ⛏️
南瓜	南瓜 🎃️
卡車	卡車 🚛️
卡车	卡车 🚛️
卫星	卫星 🛰️
卫生纸	卫生纸 🧻
双子座	双子座 ♊️️
双鱼座	双鱼座 ♓️️
台球	台球 🎱️
右	右 ➡️️
右上	右上 ↗️️
右下	右下 ↘️️
吉他	吉他 🎸️
和平鴿	和平鴿 🕊️
和平鸽	和平鸽 🕊️
咖啡	咖啡 ☕️️
哈密瓜	哈密瓜 🍈️
哈雷彗星	哈雷彗星 ☄️️
响指	响指 🤞🏻
四叶草	四叶草 🍀️
四葉草	四葉草 🍀️
回形針	回形針 📎️
回形针	回形针 📎️
可回收	可回收 ♻️️
圣誔奶奶	圣誔奶奶 🤶🏻
圣诞树	圣诞树 🎄️
圣诞老人	圣诞老人 🎅🏻️
地图	地图 🗺️
地圖	地圖 🗺️
地球	地球 🌍️ 🌎️ 🌏️
地瓜	地瓜 🍠️
地鐵	地鐵 🚇️
地铁	地铁 🚇️
垃圾筒	垃圾筒 🗑️
塔可	塔可 🌮️
墨魚	墨魚 🦑
墨鱼	墨鱼 🦑
壘球	壘球 🥎
壽司	壽司 🍣️
处女座	处女座 ♍️️
外星人	外星人 👽️
多云	多云 ⛅️️
多雲	多雲 ⛅️️
大熊猫	大熊猫 🐼️
大熊貓	大熊貓 🐼️
大脑	大脑 🧠
大腦	大腦 🧠
大象	大象 🐘️
大閘蟹	大閘蟹 🦀️
大闸蟹	大闸蟹 🦀️
大雨	大雨 🌧️
天妇罗	天妇罗 🍤️
天婦羅	天婦羅 🍤️
晴天	晴天 ☀️️
天枰座	天枰座 ♎️️
天秤座	天秤座 ♎️️
天蝎座	天蝎座 ♏️️
天蠍座	天蠍座 ♏️️
阴天	阴天 🌥️
天鵝	天鵝 🦢
天鹅	天鹅 🦢
太极	太极 ☯️️
太極	太極 ☯️️
太阳	太阳 🌞️
奇异果	奇异果 🥝
奇異果	奇異果 🥝
