# Rime user dictionary
#@/db_name	luna_pinyin.userdb
#@/db_type	userdb
#@/rime_version	1.5.3
#@/tick	122887
#@/user_id	6af16447-f9f1-43b9-a6ee-fea5984459fe
a 	啊	c=1272 d=2.60513 t=122787
a 	阿	c=2 d=1.00018 t=117365
a a 	啊啊	c=2 d=1 t=116959
a a a 	啊啊啊	c=1 d=3.95348e-54 t=103452
a ba 	阿巴	c=9 d=2.86013 t=105991
a ba a ba 	啊吧啊吧	c=4 d=3.51066e-87 t=103452
a bao 	阿寶	c=1 d=1.35115e-70 t=103452
a di 	阿迪	c=2 d=1.25392e-59 t=103452
a er fa 	阿爾法	c=1 d=8.43843e-121 t=103452
a fu han 	阿富汗	c=0 d=7.38738e-204 t=103452
a fu han shao nv 	阿富汗少女	c=1 d=7.42442e-203 t=103452
a jia sha 	阿加莎	c=2 d=1.90484 t=108694
a li 	阿里	c=28 d=1 t=109609
a li 	阿離	c=1 d=1.09671e-86 t=103452
a li de 	阿里的	c=1 d=5.90958e-136 t=103452
a li yun 	阿里雲	c=16 d=0.00726273 t=103452
a mu si te dan 	阿姆斯特丹	c=1 d=7.98064e-200 t=103452
a yi 	阿姨	c=8 d=1.19575e-07 t=103452
a yi mo 	阿衣莫	c=4 d=3.92595 t=115648
a yue 	阿月	c=1 d=4.74012e-130 t=103452
ai 	唉	c=8 d=1 t=120008
ai 	愛	c=8 d=1 t=122796
ai 	捱	c=2 d=2.52095e-21 t=103452
ai bu ai 	愛不愛	c=1 d=7.19006e-208 t=103452
ai da 	捱打	c=1 d=1.8469e-100 t=103452
ai de 	愛的	c=0 d=2.32364e-126 t=103452
ai de gu shi 	愛的股市	c=1 d=1 t=113202
ai de shen chen 	愛的深沉	c=1 d=2.33529e-125 t=103452
ai er 	艾爾	c=0 d=1.39714e-53 t=103452
ai er zhi guang 	艾爾之光	c=1 d=1.40414e-52 t=103452
ai guo 	愛國	c=0 d=1.96036e-126 t=103452
ai guo 	愛過	c=2 d=2.15956e-87 t=103452
ai guo de hen 	愛國得很	c=1 d=1.97021e-125 t=103452
ai ke si 	艾克斯	c=2 d=3.14641e-94 t=103452
ai le 	愛了	c=5 d=1.20098e-125 t=103452
ai mai mai 	愛買買	c=1 d=5.23191e-203 t=103452
ai mei 	曖昧	c=1 d=2.37156e-218 t=103452
ai ou ni ya 	愛嘔尼亞	c=-1 d=1.44992e-194 t=103452
ai ou ni ya 	愛嘔逆呀	c=-1 d=0 t=103452
ai qing gu shi 	愛情故事	c=1 d=1 t=109621
ai shang 	愛上	c=0 d=4.38253e-120 t=103452
ai shang le 	愛上了	c=1 d=4.4045e-119 t=103452
ai si 	愛死	c=0 d=2.00345e-117 t=103452
ai si 	愛絲	c=1 d=9.63049e-58 t=103452
ai si le 	愛死了	c=1 d=4.54883e-116 t=103452
